"Profession","Dept.group","Organisation","Dept.IfG","Whitehall","Managed","Year","value","Category","Note_profgroup"
"Property Asset Management","Cabinet Office ","Central Office of Information","CO","Non-Whitehall","Yes",2013,NA,"Corporate",""
"Property Asset Management","Charity Commission","Charity Commission","CO","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Cabinet Office ","National School of Government","CO","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Cabinet Office ","Office of the Parliamentary Counsel","CO","Non-Whitehall","Yes",2013,0,"Corporate",""
"Property Asset Management","Cabinet Office ","Government Procurement Service","CO","Non-Whitehall","Yes",2013,0,"Corporate",""
"Property Asset Management","Communities and Local Government","Department for Communities and Local Government","DCLG","Whitehall","Yes",2013,10,"Corporate",""
"Property Asset Management","Communities and Local Government","Fire Service College","DCLG","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Communities and Local Government","Ordnance Survey [DCLG]","DCLG","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Communities and Local Government","Planning Inspectorate","DCLG","Non-Whitehall","Yes",2013,0,"Corporate",""
"Property Asset Management","Communities and Local Government","Queen Elizabeth II Conference Centre","DCLG","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Culture, Media and Sport","Department for Culture Media and Sport","DCMS","Whitehall","Yes",2013,0,"Corporate",""
"Property Asset Management","Culture, Media and Sport","Royal Parks","DCMS","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Department for Energy and Climate Change ","Department for Energy and Climate Change","DECC","Whitehall","Yes",2013,0,"Corporate",""
"Property Asset Management","Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Defra","Non-Whitehall","No",2013,10,"Corporate",""
"Property Asset Management","Environment, Food and Rural Affairs","Central Science Laboratory","Defra","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Environment, Food and Rural Affairs","Animal Health","Defra","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Environment, Food and Rural Affairs","Centre for Environment Fisheries and Aquaculture Science","Defra","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Environment, Food and Rural Affairs","Department for Environment Food and Rural Affairs","Defra","Whitehall","Yes",2013,30,"Corporate",""
"Property Asset Management","Environment, Food and Rural Affairs","Food & Environment Research Agency","Defra","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Environment, Food and Rural Affairs","Government Decontamination Services","Defra","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Environment, Food and Rural Affairs","Marine Fisheries Agency","Defra","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Environment, Food and Rural Affairs","OFWAT","Defra","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Environment, Food and Rural Affairs","Rural Payments Agency","Defra","Non-Whitehall","Yes",2013,10,"Corporate",""
"Property Asset Management","Environment, Food and Rural Affairs","Veterinary Laboratories Agency","Defra","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Defra","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Children, Schools and Families / Department for Education","Department for Education","DfE","Whitehall","Yes",2013,40,"Corporate",""
"Property Asset Management","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","DfE","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Ofsted","Ofsted","DfE","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Department for Education","Standards and Testing Agency","DfE","Non-Whitehall","Yes",2013,0,"Corporate",""
"Property Asset Management","Department for Education","Education Funding Agency","DfE","Non-Whitehall","Yes",2013,0,"Corporate",""
"Property Asset Management","Department for Education","National College","DfE","Non-Whitehall","Yes",2013,0,"Corporate",""
"Property Asset Management","Department for Education","Teaching Agency","DfE","Non-Whitehall","Yes",2013,0,"Corporate",""
"Property Asset Management","Department for Education","National College for Teaching and Leadership","DfE","Non-Whitehall","Yes",2013,NA,"Corporate",""
"Property Asset Management","International Development ","Department for International Development","DfID","Whitehall","Yes",2013,30,"Corporate",""
"Property Asset Management","Transport","Department for Transport","DfT","Whitehall","Yes",2013,0,"Corporate",""
"Property Asset Management","Transport","Driver and Vehicle Licensing Agency","DfT","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Transport","Driving Standards Agency","DfT","Non-Whitehall","No",2013,20,"Corporate",""
"Property Asset Management","Transport","Government Car and Despatch Agency","DfT","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Transport","Highways Agency","DfT","Non-Whitehall","No",2013,40,"Corporate",""
"Property Asset Management","Transport","Maritime and Coastguard Agency","DfT","Non-Whitehall","No",2013,10,"Corporate",""
"Property Asset Management","Transport","Office of Rail Regulation","DfT","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Transport","Vehicle and Operator Services Agency","DfT","Non-Whitehall","No",2013,10,"Corporate",""
"Property Asset Management","Transport","Vehicle Certification Agency","DfT","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Health","Department of Health (excl agencies)","DH","Whitehall","Yes",2013,0,"Corporate",""
"Property Asset Management","Health","Food Standards Agency","DH","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Health","Meat Hygiene Service","DH","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Health","Medicines and Healthcare Products Regulatory Agency","DH","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Health","National Healthcare Purchasing and Supplies","DH","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Health","NHS Business Services Authority","DH","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Health","Public Health England","DH","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Work and Pensions","Department for Work and Pensions","DWP","Non-Whitehall","Yes",2013,0,"Corporate",""
"Property Asset Management","Work and Pensions","Child Maintenance Enforcement Commission","DWP","Non-Whitehall","Yes",2013,NA,"Corporate",""
"Property Asset Management","Work and Pensions","DWP Corporate and Shared Services  ","DWP","Non-Whitehall","Yes",2013,NA,"Corporate",""
"Property Asset Management","Work and Pensions","Jobcentre Plus","DWP","Non-Whitehall","Yes",2013,NA,"Corporate",""
"Property Asset Management","Work and Pensions","Pensions & Disability Carers Service ","DWP","Non-Whitehall","Yes",2013,NA,"Corporate",""
"Property Asset Management","Work and Pensions","The Health and Safety Executive","DWP","Non-Whitehall","No",2013,20,"Corporate",""
"Property Asset Management","Work and Pensions","The Rent Service","DWP","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Foreign and Commonwealth Office","Foreign and Commonwealth Office (excl agencies)","FCO","Whitehall","Yes",2013,0,"Corporate",""
"Property Asset Management","Security and Intelligence Services","Security and Intelligence Services","FCO","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Foreign and Commonwealth Office","Wilton Park Executive Agency","FCO","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Foreign and Commonwealth Office","Foreign and Commonwealth Office Services","FCO","Non-Whitehall","No",2013,70,"Corporate",""
"Property Asset Management","Government Equalities Office","Government Equalities Office","GEO","Whitehall","Yes",2013,NA,"Corporate",""
"Property Asset Management","UK Statistics Authority","Census Field","CO","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Chancellor's other departments","Debt Management Office","HMT","Non-Whitehall","Yes",2013,0,"Corporate",""
"Property Asset Management","Chancellor's other departments","Government Actuary's Department","HMT","Non-Whitehall","Yes",2013,0,"Corporate",""
"Property Asset Management","HM Revenue and Customs","HM Revenue and Customs","HMRC","Non-Whitehall","Yes",2013,410,"Corporate",""
"Property Asset Management","HM Treasury","HM Treasury","HMT","Whitehall","Yes",2013,0,"Corporate",""
"Property Asset Management","HM Treasury","Office for Budget Responsibility","HMT","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","HM Treasury","Asset Protection Agency","HMT","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Chancellor's other departments","National Savings and Investments","HMT","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Chancellor's other departments","Office of Government Commerce","HMT","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Chancellor's other departments","OGC Buying Solutions","HMT","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Chancellor's other departments","Royal Mint","HMT","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","UK Statistics Authority","UK Statistics Authority","CO","Non-Whitehall","No",2013,20,"Corporate",""
"Property Asset Management","HM Revenue and Customs","Valuation Office","HMRC","Non-Whitehall","Yes",2013,0,"Corporate",""
"Property Asset Management","Home Office","Criminal Records Bureau","HO","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Home Office","Home Office (excl agencies)","HO","Non-Whitehall","Yes",2013,60,"Corporate",""
"Property Asset Management","Home Office","Identity and Passport Service","HO","Non-Whitehall","No",2013,40,"Corporate",""
"Property Asset Management","Home Office","UK Border Agency","HO","Non-Whitehall","Yes",2013,40,"Corporate",""
"Property Asset Management","Home Office","National Fraud Authority","HO","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Defence","Defence Science and Technology Laboratory","MoD","Non-Whitehall","Yes",2013,60,"Corporate",""
"Property Asset Management","Defence","Defence Support Group","MoD","Non-Whitehall","Yes",2013,NA,"Corporate",""
"Property Asset Management","Defence","Meteorological Office","MoD","Non-Whitehall","Yes",2013,NA,"Corporate",""
"Property Asset Management","Defence","Royal Fleet Auxiliary","MoD","Non-Whitehall","Yes",2013,0,"Corporate",""
"Property Asset Management","Defence","Ministry of Defence","MoD","Non-Whitehall","Yes",2013,0,"Corporate",""
"Property Asset Management","Defence","UK Hydrographic Office","MoD","Non-Whitehall","Yes",2013,0,"Corporate",""
"Property Asset Management","Justice","Her Majesty's Courts and Tribunals Service","MoJ","Non-Whitehall","Yes",2013,0,"Corporate",""
"Property Asset Management","Justice","HM Courts Service","MoJ","Non-Whitehall","Yes",2013,NA,"Corporate",""
"Property Asset Management","Justice","Land Registry","MoJ","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Justice","Ministry of Justice (excl agencies)","MoJ","Whitehall","Yes",2013,310,"Corporate",""
"Property Asset Management","Justice","National Archives","MoJ","Non-Whitehall","No",2013,10,"Corporate",""
"Property Asset Management","Justice","National Offender Management Service","MoJ","Non-Whitehall","Yes",2013,0,"Corporate",""
"Property Asset Management","Justice","Scotland Office (incl. Office of the Advocate General for Scotland)","MoJ","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Justice","The Office of the Public Guardian","MoJ","Non-Whitehall","Yes",2013,0,"Corporate",""
"Property Asset Management","Justice","Tribunals Service","MoJ","Non-Whitehall","Yes",2013,NA,"Corporate",""
"Property Asset Management","Justice","UK Supreme Court","MoJ","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Justice","Wales Office","MoJ","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Justice","Legal Aid Agency","MoJ","Non-Whitehall","Yes",2013,NA,"Corporate",""
"Property Asset Management","Northern Ireland Office","Northern Ireland Office","NIO","Whitehall","Yes",2013,0,"Corporate",""
"Property Asset Management","Scottish Government","Crown Office and Procurator Fiscal","Scot Gov","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Scottish Government","Disclosure Scotland","Scot Gov","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Scottish Government","Fisheries Research Services","Scot Gov","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Scottish Government","General Register Scotland","Scot Gov","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Scottish Government","GROS Census Field","Scot Gov","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Scottish Government","Historic Scotland","Scot Gov","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Scottish Government","HM Inspectorate of Education","Scot Gov","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Scottish Government","Mental Health Tribunal Scotland","Scot Gov","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Scottish Government","National Records of Scotland","Scot Gov","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Scottish Government","National Archive for Scotland","Scot Gov","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Scottish Government","Office for the Scottish Charity Regulator","Scot Gov","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Scottish Government","Accountant in Bankruptcy","Scot Gov","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Scottish Government","Registers of Scotland","Scot Gov","Non-Whitehall","No",2013,10,"Corporate",""
"Property Asset Management","Scottish Government","Scottish Court Service","Scot Gov","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Scottish Government","Scottish Fisheries Protection Agency","Scot Gov","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Scottish Government","Scottish Government (excl agencies)","Scot Gov","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Scottish Government","Scottish Housing Regulator","Scot Gov","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Scottish Government","Scottish Law Commission","Scot Gov","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Scottish Government","Scottish Prison Service Headquarters","Scot Gov","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Scottish Government","Scottish Public Pensions Agency","Scot Gov","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Scottish Government","Social Work Inspection Agency","Scot Gov","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Scottish Government","Student Awards Agency","Scot Gov","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Scottish Government","Transport Scotland","Scot Gov","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Scottish Government","Education Scotland","Scot Gov","Non-Whitehall","No",2013,0,"Corporate",""
"Property Asset Management","Welsh Assembly","ESTYN","Welsh Gov","Non-Whitehall","No",2013,NA,"Corporate",""
"Property Asset Management","Welsh Assembly","Welsh Government","Welsh Gov","Non-Whitehall","No",2013,100,"Corporate",""
"Property Asset Management","ONS total","All employees","Total employment","Total Employment ONS total","Total Employment ONS total",2013,1470,"Corporate",""
"Psychology","Attorney General's departments","Attorney General's Office","AGO","Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Attorney General's departments","Crown Prosecution Service","AGO","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Attorney General's departments","Crown Prosecution Service Inspectorate","AGO","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Attorney General's departments","National Fraud Authority [AGO]","AGO","Non-Whitehall","No",2010,NA,"Specialist",""
"Psychology","Attorney General's departments","Revenue and Customs Prosecution Office","AGO","Non-Whitehall","No",2010,NA,"Specialist",""
"Psychology","Attorney General's departments","Serious Fraud Office","AGO","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Attorney General's departments","Treasury Solicitor","AGO","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Business, Innovation and Skills","Advisory Conciliation and Arbitration Service","BIS","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Business, Innovation and Skills","Business, Enterprise and Regulatory Reform","BIS","Whitehall","Yes",2010,NA,"Specialist",""
"Psychology","Business, Innovation and Skills","Business, Innovation and Skills","BIS","Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Business, Innovation and Skills","Companies House","BIS","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Business, Innovation and Skills","UK Space Agency","BIS","Non-Whitehall","No",2010,NA,"Specialist",""
"Psychology","Innovation, Universities and Skills","Department for Innovation, Universities and Skills","BIS","Whitehall","Yes",2010,NA,"Specialist",""
"Psychology","Export Credits Guarantee Department","Export Credit Guarantee Department","BIS","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Business, Innovation and Skills","Insolvency Service","BIS","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Business, Innovation and Skills","National Measurement Office","BIS","Non-Whitehall","No",2010,NA,"Specialist",""
"Psychology","Business, Innovation and Skills","National Weights and Measures Laboratory","BIS","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Business, Innovation and Skills","Office of Fair Trading","BIS","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Business, Innovation and Skills","Office of Gas and Electricity Market","DECC","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Business, Innovation and Skills","Postal Services Commission","BIS","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Business, Innovation and Skills","Skills Funding Agency","BIS","Non-Whitehall","No",2010,NA,"Specialist",""
"Psychology","Business, Innovation and Skills","UK Intellectual Property Office","BIS","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Business, Innovation and Skills","HM Land Registry","BIS","Non-Whitehall","No",2010,NA,"Specialist",""
"Psychology","Business, Innovation and Skills","Met Office","BIS","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Business, Innovation and Skills","Ordnance Survey","BIS","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Cabinet Office ","Buying Solutions","CO","Non-Whitehall","Yes",2010,NA,"Specialist",""
"Psychology","Cabinet Office ","Cabinet Office excl agencies","CO","Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Cabinet Office ","Central Office of Information","CO","Non-Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Charity Commission","Charity Commission","CO","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Cabinet Office ","National School of Government","CO","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Cabinet Office ","Office of the Parliamentary Counsel","CO","Non-Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Cabinet Office ","Government Procurement Service","CO","Non-Whitehall","Yes",2010,NA,"Specialist",""
"Psychology","Communities and Local Government","Department for Communities and Local Government","DCLG","Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Communities and Local Government","Fire Service College","DCLG","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Communities and Local Government","Ordnance Survey [DCLG]","DCLG","Non-Whitehall","No",2010,NA,"Specialist",""
"Psychology","Communities and Local Government","Planning Inspectorate","DCLG","Non-Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Communities and Local Government","Queen Elizabeth II Conference Centre","DCLG","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Culture, Media and Sport","Department for Culture Media and Sport","DCMS","Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Culture, Media and Sport","Royal Parks","DCMS","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Department for Energy and Climate Change ","Department for Energy and Climate Change","DECC","Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Defra","Non-Whitehall","No",2010,NA,"Specialist",""
"Psychology","Environment, Food and Rural Affairs","Central Science Laboratory","Defra","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Environment, Food and Rural Affairs","Animal Health","Defra","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Environment, Food and Rural Affairs","Centre for Environment Fisheries and Aquaculture Science","Defra","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Environment, Food and Rural Affairs","Department for Environment Food and Rural Affairs","Defra","Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Environment, Food and Rural Affairs","Food & Environment Research Agency","Defra","Non-Whitehall","No",2010,NA,"Specialist",""
"Psychology","Environment, Food and Rural Affairs","Government Decontamination Services","Defra","Non-Whitehall","No",2010,NA,"Specialist",""
"Psychology","Environment, Food and Rural Affairs","Marine Fisheries Agency","Defra","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Environment, Food and Rural Affairs","OFWAT","Defra","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Environment, Food and Rural Affairs","Rural Payments Agency","Defra","Non-Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Environment, Food and Rural Affairs","Veterinary Laboratories Agency","Defra","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Defra","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Children, Schools and Families / Department for Education","Department for Education","DfE","Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","DfE","Non-Whitehall","No",2010,NA,"Specialist",""
"Psychology","Ofsted","Ofsted","DfE","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Department for Education","Standards and Testing Agency","DfE","Non-Whitehall","Yes",2010,NA,"Specialist",""
"Psychology","Department for Education","Education Funding Agency","DfE","Non-Whitehall","Yes",2010,NA,"Specialist",""
"Psychology","Department for Education","National College","DfE","Non-Whitehall","Yes",2010,NA,"Specialist",""
"Psychology","Department for Education","Teaching Agency","DfE","Non-Whitehall","Yes",2010,NA,"Specialist",""
"Psychology","Department for Education","National College for Teaching and Leadership","DfE","Non-Whitehall","Yes",2010,NA,"Specialist",""
"Psychology","International Development ","Department for International Development","DfID","Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Transport","Department for Transport","DfT","Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Transport","Driver and Vehicle Licensing Agency","DfT","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Transport","Driving Standards Agency","DfT","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Transport","Government Car and Despatch Agency","DfT","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Transport","Highways Agency","DfT","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Transport","Maritime and Coastguard Agency","DfT","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Transport","Office of Rail Regulation","DfT","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Transport","Vehicle and Operator Services Agency","DfT","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Transport","Vehicle Certification Agency","DfT","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Health","Department of Health (excl agencies)","DH","Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Health","Food Standards Agency","DH","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Health","Meat Hygiene Service","DH","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Health","Medicines and Healthcare Products Regulatory Agency","DH","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Health","National Healthcare Purchasing and Supplies","DH","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Health","NHS Business Services Authority","DH","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Health","Public Health England","DH","Non-Whitehall","No",2010,NA,"Specialist",""
"Psychology","Work and Pensions","Department for Work and Pensions","DWP","Non-Whitehall","Yes",2010,NA,"Specialist",""
"Psychology","Work and Pensions","Child Maintenance Enforcement Commission","DWP","Non-Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Work and Pensions","DWP Corporate and Shared Services  ","DWP","Non-Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Work and Pensions","Jobcentre Plus","DWP","Non-Whitehall","Yes",2010,NA,"Specialist",""
"Psychology","Work and Pensions","Pensions & Disability Carers Service ","DWP","Non-Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Work and Pensions","The Health and Safety Executive","DWP","Non-Whitehall","No",2010,10,"Specialist",""
"Psychology","Work and Pensions","The Rent Service","DWP","Non-Whitehall","No",2010,NA,"Specialist",""
"Psychology","Foreign and Commonwealth Office","Foreign and Commonwealth Office (excl agencies)","FCO","Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Security and Intelligence Services","Security and Intelligence Services","FCO","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Foreign and Commonwealth Office","Wilton Park Executive Agency","FCO","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Foreign and Commonwealth Office","Foreign and Commonwealth Office Services","FCO","Non-Whitehall","No",2010,NA,"Specialist",""
"Psychology","Government Equalities Office","Government Equalities Office","GEO","Whitehall","Yes",2010,0,"Specialist",""
"Psychology","UK Statistics Authority","Census Field","CO","Non-Whitehall","No",2010,NA,"Specialist",""
"Psychology","Chancellor's other departments","Debt Management Office","HMT","Non-Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Chancellor's other departments","Government Actuary's Department","HMT","Non-Whitehall","Yes",2010,0,"Specialist",""
"Psychology","HM Revenue and Customs","HM Revenue and Customs","HMRC","Non-Whitehall","Yes",2010,0,"Specialist",""
"Psychology","HM Treasury","HM Treasury","HMT","Whitehall","Yes",2010,0,"Specialist",""
"Psychology","HM Treasury","Office for Budget Responsibility","HMT","Non-Whitehall","No",2010,NA,"Specialist",""
"Psychology","HM Treasury","Asset Protection Agency","HMT","Non-Whitehall","No",2010,NA,"Specialist",""
"Psychology","Chancellor's other departments","National Savings and Investments","HMT","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Chancellor's other departments","Office of Government Commerce","HMT","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Chancellor's other departments","OGC Buying Solutions","HMT","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Chancellor's other departments","Royal Mint","HMT","Non-Whitehall","No",2010,NA,"Specialist",""
"Psychology","UK Statistics Authority","UK Statistics Authority","CO","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","HM Revenue and Customs","Valuation Office","HMRC","Non-Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Home Office","Criminal Records Bureau","HO","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Home Office","Home Office (excl agencies)","HO","Non-Whitehall","Yes",2010,NA,"Specialist",""
"Psychology","Home Office","Identity and Passport Service","HO","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Home Office","UK Border Agency","HO","Non-Whitehall","Yes",2010,NA,"Specialist",""
"Psychology","Home Office","National Fraud Authority","HO","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Defence","Defence Science and Technology Laboratory","MoD","Non-Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Defence","Defence Support Group","MoD","Non-Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Defence","Meteorological Office","MoD","Non-Whitehall","Yes",2010,NA,"Specialist",""
"Psychology","Defence","Royal Fleet Auxiliary","MoD","Non-Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Defence","Ministry of Defence","MoD","Non-Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Defence","UK Hydrographic Office","MoD","Non-Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Justice","Her Majesty's Courts and Tribunals Service","MoJ","Non-Whitehall","Yes",2010,NA,"Specialist",""
"Psychology","Justice","HM Courts Service","MoJ","Non-Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Justice","Land Registry","MoJ","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Justice","Ministry of Justice (excl agencies)","MoJ","Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Justice","National Archives","MoJ","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Justice","National Offender Management Service","MoJ","Non-Whitehall","Yes",2010,940,"Specialist",""
"Psychology","Justice","Scotland Office (incl. Office of the Advocate General for Scotland)","MoJ","Non-Whitehall","No",2010,0,"Specialist",""
"Psychology","Justice","The Office of the Public Guardian","MoJ","Non-Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Justice","Tribunals Service","MoJ","Non-Whitehall","Yes",2010,0,"Specialist",""
"Psychology","Justice","UK Supreme Court","MoJ","Non-Whitehall","No",2010,0,"Specialist",""
